id,requirement_no,title,requirement_type,parameter_table_id,business_description,requester,request_date,status,story_points,sprint,project_platform_id
1,REQ-2024-001,新增系统配置参数表,new,1,需要新增系统配置参数表，用于存储系统级配置项如系统开关、默认参数等,张三,2024-01-10 10:00:00,completed,5,Sprint-1,ZD-2024-001
2,REQ-2024-002,用户角色表字段扩展,modify,2,扩展用户角色表，增加角色描述字段和权限范围字段,李四,2024-02-15 09:30:00,completed,3,Sprint-2,ZD-2024-005
3,REQ-2024-003,业务参数表新增需求,new,3,新增业务参数配置表，支持业务运营参数的灵活配置与动态调整,王五,2024-03-01 14:00:00,in_progress,8,Sprint-3,ZD-2024-008
4,REQ-2024-004,地区信息表复用申请,reuse,4,申请复用地区信息参数表，配置INDEXID区分不同业务场景,赵六,2024-06-05 11:00:00,pending,5,Sprint-4,ZD-2024-012
5,REQ-2024-005,支付方式表废弃处理,modify,5,支付方式表不再使用，需标记为废弃状态并归档历史数据,孙七,2024-04-01 10:00:00,completed,2,Sprint-2,ZD-2024-006
6,REQ-2024-006,订单状态流转规则配置,new,6,新增订单状态配置表，定义订单生命周期各状态及流转规则,周八,2024-04-10 09:00:00,completed,8,Sprint-3,ZD-2024-009
7,REQ-2024-007,商品分类参数表设计,new,7,设计商品分类参数表，支持三级分类结构管理,吴九,2024-05-15 14:30:00,pending,5,Sprint-4,ZD-2024-013
8,REQ-2024-008,通知类型模板配置,new,8,新增通知类型配置表，定义系统通知模板及发送规则,郑十,2024-03-20 10:00:00,completed,6,Sprint-3,ZD-2024-007
9,REQ-2024-009,白名单配置功能开发,new,9,新增白名单配置表，管理系统访问白名单及权限控制,刘十一,2024-02-05 13:00:00,completed,5,Sprint-2,ZD-2024-004
10,REQ-2024-010,数据字典统一管理,new,10,新增数据字典参数表，存储通用编码与名称映射关系,陈十二,2024-01-01 09:00:00,completed,8,Sprint-1,ZD-2024-002
11,REQ-2024-011,系统配置表字段优化,modify,1,系统配置表增加参数分组和排序字段，优化配置管理体验,张三,2024-06-20 11:00:00,approved,3,Sprint-4,ZD-2024-014
12,REQ-2024-012,角色权限细粒度改造,modify,2,角色权限表增加数据权限控制，支持按部门/岗位授权,李四,2024-07-01 14:00:00,pending,8,Sprint-5,ZD-2024-015
