id,requirement_no,title,requirement_type,parameter_table_id,business_description,requester,request_date,status,story_points,sprint,project_platform_id
1,REQ-202601-001,包装种类代码表开发,new,1,根据海关监管需求，开发包装种类代码表，包含木箱、纸箱、桶装等包装类型的代码定义,张三,2026-01-15 10:00:00,completed,8,Sprint-001,PROJ-001
2,REQ-202602-002,运输方式代码表开发,new,2,开发运输方式代码表，支持海运、空运、陆运等运输方式的代码定义,李四,2026-02-20 09:00:00,completed,8,Sprint-002,PROJ-002
3,REQ-202603-003,监管方式代码表开发,new,3,开发监管方式代码表，支持一般贸易、加工贸易等监管方式的代码定义,王五,2026-03-10 11:30:00,completed,8,Sprint-003,PROJ-003
4,REQ-202604-004,成交方式代码表开发,new,4,开发成交方式代码表，支持FOB、CIF、CFR等国际贸易术语,赵六,2026-03-05 14:00:00,completed,8,Sprint-004,PROJ-004
5,REQ-202605-005,国别地区代码表开发,new,5,开发国别地区代码表，采用ISO 3166标准，包含中文名称、英文名称、税率标记等字段,钱七,2026-04-01 08:00:00,completed,13,Sprint-005,PROJ-005
6,REQ-202606-006,币制代码表开发,new,6,开发币制代码表，支持人民币、美元、欧元等货币种类的代码定义,孙八,2026-04-15 09:00:00,completed,8,Sprint-006,PROJ-006
7,REQ-202607-007,征免性质代码表开发,new,7,开发征免性质代码表，支持一般征税、减免税、保税等税收性质的代码定义,周九,2026-05-01 10:00:00,completed,8,Sprint-007,PROJ-007
8,REQ-202608-008,计量单位代码表开发,new,8,开发计量单位代码表，支持千克、米、件等计量单位的代码定义,吴十,2026-05-15 08:00:00,completed,8,Sprint-008,PROJ-008
9,REQ-202609-009,港口代码表开发,new,9,开发港口代码表，支持进出口港口的代码定义,郑十一,2026-06-01 09:00:00,in_progress,8,Sprint-009,PROJ-009
10,REQ-202610-010,海关关区代码表开发,new,10,开发海关关区代码表，支持全国海关关区的代码定义,王十二,2026-06-05 08:00:00,pending,8,Sprint-010,PROJ-010
