id,name,business_description,domain,owner,status,created_at,updated_at,version
1,包装种类代码表,海关监管中用于标识货物包装形式的代码表。关联关系：报关单表→包装种类代码（lookup），监管方式代码表→包装种类代码（constraint，部分监管方式对包装有特殊要求）,海关参数,张三,active,2026-01-15 10:00:00,2026-06-20 14:30:00,3
2,运输方式代码表,海关监管中用于标识货物运输方式的代码表。关联关系：报关单表→运输方式代码（lookup），港口代码表→运输方式代码（constraint，特定运输方式对应特定港口类型）,海关参数,李四,active,2026-02-20 09:00:00,2026-06-18 16:45:00,2
3,监管方式代码表,海关监管中用于标识进出口贸易监管方式的代码表。关联关系：报关单表→监管方式代码（lookup），征免性质代码表→监管方式代码（constraint，监管方式决定税收政策），成交方式代码表→监管方式代码（constraint，部分监管方式限制成交方式）,海关参数,王五,active,2026-03-10 11:30:00,2026-06-15 10:20:00,4
4,成交方式代码表,海关监管中用于标识货物成交方式的代码表。关联关系：报关单表→成交方式代码（lookup），币制代码表→成交方式代码（constraint，成交方式隐含计价货币）,海关参数,赵六,active,2026-03-05 14:00:00,2026-06-15 10:20:00,3
5,国别地区代码表,海关监管中用于标识货物原产国或目的国的代码表。关联关系：报关单表→原产国代码/目的国代码（lookup），征免性质代码表→国别地区代码（constraint，原产地决定征免政策）,海关参数,钱七,active,2026-04-01 08:00:00,2026-06-10 16:00:00,2
6,币制代码表,海关监管中用于标识货币种类的代码表。关联关系：报关单表→币制代码（lookup），成交方式代码表→币制代码（constraint，特定成交方式要求特定货币）,海关参数,孙八,active,2026-04-15 09:00:00,2026-06-08 14:30:00,2
7,征免性质代码表,海关监管中用于标识税收征管性质的代码表。关联关系：报关单表→征免性质代码（lookup），监管方式代码表→征免性质代码（reference，监管方式与征免性质存在对应关系），国别地区代码表→征免性质代码（constraint，原产地决定征免政策）,海关参数,周九,active,2026-05-01 10:00:00,2026-06-05 11:00:00,1
8,计量单位代码表,海关监管中用于标识货物计量单位的代码表。关联关系：报关单表→计量单位代码（lookup），商品编码表→计量单位代码（reference，HS编码规定标准计量单位）,海关参数,吴十,active,2026-05-15 08:00:00,2026-06-01 13:00:00,1
9,港口代码表,海关监管中用于标识进出口港口的代码表。关联关系：报关单表→起运港/目的港代码（lookup），运输方式代码表→港口代码表（constraint，海运对应海港、空运对应空港），海关关区代码表→港口代码表（reference，港口隶属于特定海关关区）,海关参数,郑十一,active,2026-06-01 09:00:00,2026-06-20 10:00:00,1
10,海关关区代码表,海关监管中用于标识海关关区的代码表。关联关系：报关单表→申报海关代码（lookup），港口代码表→海关关区代码表（reference，港口隶属于特定海关关区）,海关参数,王十二,active,2026-06-05 08:00:00,2026-06-18 14:00:00,1
